"","log.ecis","ecisL","ecisH","log.rHy","rHyL","rhyH","B.log.ecis","B.ecisL","B.ecisH","rowMeans(exph[, -1])","geneN"
"32",2.0790956678624,1.8993176103688,2.25808351672402,14.117812893656,10.7885674833252,15.7885871920967,2.07904308068586,1.95927693010762,2.20088977574412,104.925,"PHO80"
"33",2.05260039727352,1.93876417477058,2.16390819016083,11.8066791855147,NA,14.1882580451439,2.05510447839373,1.96348360895484,2.14792770891984,175.05,"BNA4"
"34",2.03287779467228,1.89800812361472,2.16535611692362,12.5797547114143,NA,14.7939249434063,2.03579035293159,1.93135433706835,2.14178054507833,136.775,"MON1"
"35",-1.98173987281095,-2.16438411207407,-1.80359061017504,0,NA,NA,-1.98173950976066,-2.16437826025476,-1.80358785777583,45.675,"YML002W"
"36",-1.97141925917287,-2.12282604443777,-1.8212308883522,5.16385552445491,NA,6.7306982498006,-1.97142193039394,-2.1156396401728,-1.83000569904367,71.45,"YMR1"
"37",-1.97054569521462,-2.11580573727275,-1.82609723712205,13.3792257449592,NA,15.1689133430549,-1.96838269872684,-2.07206071797422,-1.86615919285245,137.675,"COG1"
"38",1.95499801226558,1.78615555394645,2.12782393114835,0,NA,15.1562211395742,1.9549983977313,1.78615346608011,2.12781812419743,49.375,"CLB4"
"39",1.93391059236396,1.79121024665118,2.07339512048438,13.921516720265,12.2537572289056,15.3352407813697,1.94153386299733,1.86460742136046,2.01927084238759,232.475,"AIF1"
"40",-1.93136723065443,-1.9952385488903,-1.86554784599127,10.9735294659529,NA,12.8491122210961,-1.93469047249188,-1.9819158357621,-1.88776536372046,644.025,"RGM1"
"41",1.92928300762457,1.77918003099423,2.07369692787731,13.4890575225861,7.92920747634898,15.2466367498109,1.94141620169614,1.83911019718584,2.04516045357896,131.525,"RSB1"
"42",1.91478146758801,1.52406444495616,2.32711862369565,0,NA,NA,1.91478381896429,1.52404564949282,2.32711597113881,9.05,"YIG1"
"43",-1.91356727183712,-2.34370171185741,-1.50694607692567,0,NA,NA,-1.91356738936335,-2.34370029201202,-1.50692649400708,8.625,"LEE1"
"44",-1.87283300485607,-2.09720284263972,-1.65559869992307,11.7725787986409,NA,15.3350797689985,-1.87217859402964,-2.0779624517764,-1.67184115829139,33.775,"YJL077W"
"45",1.8615486779393,1.37756214333989,2.3679990451091,16.514615875138,NA,18.7014397791779,1.84492666495293,1.45786533683552,2.25254214258618,8.65,"YHR180W"
"46",1.77411671742223,1.71893507337075,1.82939586805373,10.9411386234178,8.03490396373653,12.5757145199759,1.77357302514854,1.73728404288144,1.81002908034266,1005.675,"YJR015W"
"47",1.75103538238294,1.51169546084969,1.98387701566615,16.1132852229139,15.2455905462988,17.1742958195408,1.70892012580968,1.68032164142848,1.7376189955397,1592.9,"IFA38"
"48",1.73980972332145,1.49085397026272,1.98150949709844,16.2438920819563,15.387906033135,17.2968170822374,1.70876429373756,1.68581294638444,1.73178010234343,2452.45,"NAP1"
"49",-1.69574046962323,-2.0358750791764,-1.37444718423831,15.1879802501045,NA,17.6082018110691,-1.68008715724241,-1.95170995584771,-1.41713169869387,18.175,"ASG7"
"50",1.66134525124853,1.56241165162883,1.75706089723211,12.4412853344831,6.74501300339206,14.2052636753293,1.66763720863997,1.59991931854957,1.73591117755986,271.15,"FRE3"
"51",-1.61397709428541,-1.77961286842175,-1.45344116997798,8.67380774420825,NA,6.61591571457541,-1.61388176069695,-1.76897710187067,-1.46156219426533,52.4,"ATG10"
"52",-1.59966897889456,-1.83732220868828,-1.35720753260202,16.1725738299125,15.2532472219653,17.2640954240961,-1.54673039328917,-1.60408643351046,-1.48974526717294,373.025,"HRR25"
"53",1.59142968030718,1.48872493865181,1.69318467200954,13.6342090861716,12.6593742400392,14.7652995630571,1.58923062959567,1.55971318448889,1.61884931592301,1466.55,"NOP2"
"54",1.57841912368242,1.48505011798389,1.67280432005703,0,NA,13.051378592199,1.57841974044496,1.48505321206034,1.67279992531516,138.5,"MET13"
"55",-1.57622956228242,-1.6233495605723,-1.52919476075013,11.0202957271713,9.57779413184156,12.3622785726521,-1.5748584797975,-1.59944578534474,-1.55034071937719,2083.325,"SCM4"
"56",1.55963545255533,1.18715962352875,1.93978333873703,13.0062606585854,NA,16.1384889371536,1.55993387900255,1.21557998844924,1.9183380262938,9.6,"THI2"
"57",-1.51977710460595,-1.63240863140397,-1.40602883654735,13.8160779259198,12.6869672046942,15.0264910178839,-1.52099814828625,-1.56683716618079,-1.47539304356008,593.425,"DHH1"
"58",1.51389974171178,1.39051771287374,1.63899981220845,0.211545297766275,NA,10.0252052776264,1.51389968441347,1.39051923768139,1.63899486945419,79.2,"SET5"
"59",1.50644587379425,1.42099524487457,1.59274260788238,1.90662479365598,NA,12.2246938109165,1.50644783883784,1.42107279661073,1.59263705357522,169.025,"COS12"
"60",1.48237429496016,1.3490756876465,1.61161157023965,14.111475820546,12.7474948548075,15.4256965194837,1.50040342138759,1.43815098348266,1.5630861027707,299.95,"YLL053C"
"61",1.47595503303499,1.3923555090199,1.5586629016844,10.869995385576,NA,13.5717137411217,1.47665957508545,1.4062362572474,1.54762665187788,246.75,"YAR028W"
"62",1.4626479887482,1.34432028424308,1.58315292054831,12.6267111885142,NA,14.7462605358806,1.46003950737953,1.36682824195194,1.55419653046505,136.1,"MTC3"
"63",-1.45816317671415,-1.70717683855008,-1.22851093893202,12.9790643578376,NA,16.5840272710663,-1.45391081781454,-1.66830708777142,-1.24435367762642,27.6,"YJR154W"
"64",1.44059208943039,1.07519162779308,1.82080453940746,0,NA,NA,1.44059189712106,1.07517561761144,1.82079695805134,8.975,"HIM1"
"65",1.44054857153992,1.19834712916575,1.68917452937166,0,NA,NA,1.44054878624716,1.19834210698365,1.68916842157225,20.475,"ULI1"
"66",-1.43862510284307,-1.53017372946226,-1.34793736842745,1.63723486613356,NA,11.9855022626937,-1.43862216583566,-1.5302123141744,-1.34791902641751,144.05,"PRM15"
"67",-1.42049087025487,-1.50793970499147,-1.33384376639282,0,NA,NA,-1.42049114955776,-1.50793533103264,-1.33384717709948,162.25,"YER187W"
"68",-1.41904287096671,-1.60800173739816,-1.223560820175,15.3239492528765,14.0686428339519,16.5883035410316,-1.45176511737717,-1.53771576215073,-1.36660213523464,158.575,"BEM4"
"69",-1.39982430706925,-1.62848994463368,-1.17649268001727,0,NA,NA,-1.399824043067,-1.62848400024699,-1.17648891767373,24.025,"MAL33"
"70",1.39433799199662,1.34021612087643,1.44875971401882,0,NA,NA,1.39433778564956,1.34020800411989,1.44877282143772,413.15,"COS111"
"71",1.39002794147737,1.08605628895139,1.70105708331921,15.0300011688752,NA,17.5010129560242,1.38620903530154,1.13719992702262,1.6417764031984,18.475,"YHL042W"
"72",-1.38669462771823,-1.69123052127639,-1.07635417759637,14.7850634069293,NA,17.4034905916357,-1.3921816820812,-1.65445584646691,-1.13685827063635,17.85,"NNR1"
"73",1.37238098291035,1.2084548498153,1.53910270215154,0,NA,NA,1.37238038860451,1.20845461919374,1.53909834610896,43.75,"YET2"
"74",1.36935829714244,1.30620308810943,1.43229692471053,12.2290727281828,11.1377437836098,13.422804642541,1.36824529979406,1.34441341997026,1.39213520742661,2059.925,"EXG1"
"75",-1.36922929749577,-1.5716684069418,-1.16767458707289,12.1770848913077,NA,16.0013919337874,-1.3696068888462,-1.55580437377371,-1.18689151569044,34.775,"SPI1"
"76",1.36198692802381,1.26575875276431,1.45988187589091,11.803915718666,NA,14.1888967549711,1.3607529913423,1.28263238915085,1.43949761445733,194.85,"NEL1"
"77",1.36099337041589,1.18112504058874,1.54573800995868,13.1545057577422,NA,15.8455826044929,1.3586029029561,1.20363974234909,1.51603694403069,46.575,"STB2"
"78",-1.34636892543857,-1.44679804982721,-1.2462621555762,11.8846700898463,NA,14.2368290969829,-1.34623683612362,-1.4284289540475,-1.26472048924362,174.125,"YOL029C"
"79",-1.33540024511571,-1.57605432923391,-1.09856784538344,14.4373205944141,NA,16.718128105783,-1.33292461623911,-1.53044289475087,-1.13923046667,30.5,"YCL001W"
"80",-1.3218399996815,-1.35576444946369,-1.28792201554479,10.3742664635025,9.18788884912931,11.6134747399538,-1.320992948043,-1.33566983293318,-1.30633740362653,5427.95,"PLB2"
"81",-1.31201723081365,-1.45259429354715,-1.17366062062513,12.7543101764858,NA,15.1902460644559,-1.31053566369696,-1.42626112471416,-1.19611485439458,85.45,"CTL1"
"82",1.3032717363091,1.1616441628665,1.44236324535138,14.4295345473544,13.152242046225,15.705185343115,1.3133194329396,1.24849325044951,1.37856147139186,266.75,"RNH70"
"83",-1.29389919584487,-1.35263566414234,-1.2361448032476,10.5540192276612,NA,12.7647794270308,-1.29288092713787,-1.33888375770063,-1.24708325163144,545.025,"GPD2"
"84",-1.28078914777579,-1.51313877309627,-1.0476011087208,14.6806106954235,NA,16.7539206242923,-1.28268020234223,-1.46700173283669,-1.10158550726529,34.575,"GIP1"
"85",-1.27651119325204,-1.46732548522128,-1.08914689505582,0.65758581797827,NA,10.1605199882313,-1.27651265518299,-1.46731976650966,-1.08914665876484,32.1,"TOS3"
"86",-1.26799498118337,-1.48744582735656,-1.05306522041119,0,NA,NA,-1.2679952623796,-1.48744020184995,-1.05306255097642,23,"GND2"
"87",-1.26791690765526,-1.37912928547519,-1.15656354316573,12.9750024481248,NA,14.7702680445129,-1.26800944657291,-1.34718236895622,-1.18943174436651,183.35,"CAD1"
"88",-1.2522330125961,-1.35777446614021,-1.14773762411803,0,NA,NA,-1.25223255106457,-1.35776967775142,-1.14773908389171,102.475,"YGL194C"
"89",1.23985267158135,1.02033611100527,1.45583085041425,16.1008317946765,15.2133329097327,17.1723257393151,1.18855031997478,1.15277088842921,1.22444500250087,855.7,"CBC2"
"90",-1.2159799030467,-1.35194209185238,-1.08116521242186,12.7394060375129,NA,15.1579028356266,-1.2153257869881,-1.3272644207979,-1.10453017718545,90.4,"YHR112C"
"91",-1.21368849048891,-1.418499068575,-1.01267045106892,0,NA,15.2066213983984,-1.21368648597696,-1.41849400105072,-1.01266872128354,27.65,"SPO74"
"92",-1.18794390336823,-1.22605278708472,-1.14991100262382,7.7390344066202,NA,11.3757903963577,-1.18793983486535,-1.22226380742472,-1.15372182761731,947.075,"YNR061C"
"93",-1.15593384506391,-1.27532313128163,-1.03611612218021,12.5648288330601,NA,14.8729506124227,-1.15662644399199,-1.2531556579992,-1.06091190211534,119.1,"YLF2"
"94",-1.14624223275008,-1.19314001645408,-1.09980636604696,11.4997310961455,10.4574046414353,12.6691675401864,-1.13570396393548,-1.15150164592094,-1.11992781342308,4238.775,"CWP1"
"95",-1.14370742852985,-1.24376074566377,-1.04278325691698,11.3903505283585,NA,14.2324487469305,-1.1443490702137,-1.2311852184257,-1.05816640435627,149.35,"YGR127W"
"96",-1.14075105178293,-1.27486310766421,-1.00798660812414,13.8045437232318,11.1625704342124,15.4068412586039,-1.13555748209021,-1.22367925559756,-1.04810471176846,140.65,"CAK1"
"97",-1.09033033862951,-1.16140501811695,-1.02581341907107,9.05818883338426,NA,12.8097526681865,-1.08914665512317,-1.1498226498728,-1.02877669760664,306.775,"MSN4"
"98",-1.08731030210952,-1.15774862079436,-1.01728628841317,0,NA,11.6915640467056,-1.08731219070685,-1.15774475090275,-1.0172910263852,218.825,"snR31"
"99",-1.0853182541553,-1.16232909917899,-1.00804860697129,9.93982317368877,NA,13.4252845013004,-1.08545742876185,-1.15418893941655,-1.01711716796069,226.975,"SUT1"
"100",1.07893731878068,1.01136489050281,1.1468874577636,1.68017994421364,NA,11.8604472535602,1.07893219418954,1.01145839538825,1.1467834352641,240.175,"YLR049C"
"101",-1.06244521913615,-1.09184988773305,-1.03285001931823,10.0145561532722,8.74992845852151,11.2880320520162,-1.06373981613314,-1.07741276094989,-1.05008212289907,5655.975,"ASN1"
